city,month,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
Seattle,1,1/1/2015,34,26,42,36,46,10,58,1952,2006,0,0.18,1.37
Seattle,1,1/2/2015,37,32,42,36,46,6,56,1950,2003,0.06,0.18,1.77
Seattle,1,1/3/2015,38,35,41,36,46,6,58,1950,1984,0,0.19,1.01
Seattle,1,1/4/2015,45,38,51,36,46,14,61,1950,1984,0.4,0.19,1.56
Seattle,1,1/5/2015,52,49,54,36,46,15,55,1982,2006,0.32,0.18,1.33
Seattle,1,1/6/2015,49,43,54,37,46,14,57,1982,2003,0,0.19,1.22
Seattle,1,1/7/2015,44,42,46,37,46,19,59,1973,2002,0,0.19,2.29
Seattle,1,1/8/2015,41,35,46,37,46,18,54,1949,1953,0,0.2,1.13
Seattle,1,1/9/2015,44,38,50,37,46,13,56,1949,2003,0.01,0.19,2.83
Seattle,1,1/10/2015,45,43,46,37,47,12,59,1949,1981,0.23,0.2,0.94
Seattle,1,1/11/2015,47,45,49,37,47,12,59,1963,1987,0.06,0.19,1.26
Seattle,1,1/12/2015,46,40,52,37,47,13,59,1963,1986,0,0.19,1.3
Seattle,1,1/13/2015,43,37,49,37,47,11,56,1950,1986,0,0.18,1.63
Seattle,1,1/14/2015,38,33,43,37,47,8,59,1950,1968,0,0.19,1.61
Seattle,1,1/15/2015,40,34,46,37,47,15,58,1950,1974,0.38,0.19,1.68
Seattle,1,1/16/2015,48,42,53,37,47,13,55,1950,2011,0,0.2,1.78
Seattle,1,1/17/2015,47,38,56,37,47,15,56,1950,2015,1.03,0.19,2.39
Seattle,1,1/18/2015,51,45,57,37,48,9,60,1950,2005,0.84,0.19,2.98
Seattle,1,1/19/2015,47,43,50,37,48,18,62,1954,2005,0.02,0.18,2.26
Seattle,1,1/20/2015,44,38,50,37,48,16,64,1954,1981,0,0.19,1.66
Seattle,1,1/21/2015,38,31,45,37,48,13,62,1962,1981,0,0.17,1.64
Seattle,1,1/22/2015,46,43,49,37,48,19,60,1962,1981,0.03,0.17,1.29
Seattle,1,1/23/2015,51,47,54,37,48,16,56,1949,2001,0.23,0.17,1.36
Seattle,1,1/24/2015,55,52,58,37,48,10,58,1950,1995,0.02,0.16,1.36
Seattle,1,1/25/2015,54,45,63,37,48,7,63,1950,2015,0,0.17,0.93
Seattle,1,1/26/2015,52,43,61,37,48,9,61,1957,2015,0,0.16,1.03
Seattle,1,1/27/2015,50,47,52,37,48,11,58,1957,1952,0.03,0.16,1.61
Seattle,1,1/28/2015,48,41,54,37,48,7,57,1950,1976,0,0.16,1.23
Seattle,1,1/29/2015,46,38,54,37,49,6,60,1950,1992,0,0.16,1.63
Seattle,1,1/30/2015,41,34,47,37,49,7,59,1950,1992,0,0.15,1
Seattle,1,1/31/2015,42,38,45,37,49,0,61,1950,1960,0,0.16,1.93
Seattle,2,2/1/2015,45,40,49,37,49,1,63,1950,1962,0.06,0.13,1.34
Seattle,2,2/2/2015,47,41,52,37,49,8,64,1950,1962,0.29,0.13,1.32
Seattle,2,2/3/2015,46,42,50,37,49,8,63,1950,1992,0.05,0.14,1.29
Seattle,2,2/4/2015,46,40,51,37,49,7,63,1989,1993,0.33,0.13,0.91
Seattle,2,2/5/2015,52,47,56,37,49,14,62,1989,1987,1.03,0.14,1.03
Seattle,2,2/6/2015,54,50,58,37,49,18,64,1989,1993,0.68,0.13,1.54
Seattle,2,2/7/2015,52,49,54,37,49,20,66,1989,1963,0.93,0.14,2.58
Seattle,2,2/8/2015,53,47,59,37,49,22,68,1994,1963,0.14,0.13,3.06
Seattle,2,2/9/2015,52,47,56,37,49,26,62,1989,1968,0.24,0.13,2.98
Seattle,2,2/10/2015,51,47,55,37,49,24,65,1982,1963,0.01,0.13,0.96
